Server Time,Session Time Stamps,Tank_B201_empty,Tank_B202_empty,Tank_B203_empty,Tank_B204_empty,Tank_B204_middle,Tank_B201_full,Tank_B202_full,Tank_B203_full,Tank_B204_full,Tank_B201_Volume,Tank_B202_Volume,Tank_B203_Volume,Tank_B204_Volume,Pressure_below_B201,Pressure_below_B202,Pressure_below_B203,Pressure_below_B204,Tempreature_before_Pump_P201,Temperature_in_B204,Flow_after_Pump_P201,Flow_after_Pump_P202,Valve_V201_opening,Valve_V202_opening,Valve_V203_opening,Valve_V204_opening,Valve_V205_opening,Valve_V206_opening,Valve_V209_opening,Pump_P201_active,Pump_P202_active,Mixer_R201_of_B204_active,Tank_B201_level_calculated_via_LI211,Tank_B202_level_calculated_via_LI212,Tank_B203_level_calculated_via_LI213,Tank_B204_level_calculated_via_LI214,Tank_B201_level_calculated_via_VolumeB201,Tank_B202_level_calculated_via_VolumeB202,Tank_B203_level_calculated_via_VolumeB203,Tank_B204_level_calculated_via_VolumeB204,Tank_B201_level_calculated_via_PI251,Tank_B202_level_calculated_via_PI252,Tank_B203_level_calculated_via_PI253,Tank_B204_level_calculated_via_PI254,Tank_B201_level_calculated_via_PI251_until_zero_level,Tank_B202_level_calculated_via_PI252_until_zero_level,Tank_B203_level_calculated_via_PI253_until_zero_level,Tank_B204_level_calculated_via_PI254_until_zero_level,Anomaly
2024-01-22 02:20:29.576610,0.588517,1,1,1,1,0,1,1,1,1,2042.131103515625,2061.070068359375,1908.5181884765625,-33.004791259765625,2.9892399311065674,3.009399890899658,2.8178799152374268,1.0639599561691284,39.19195556640625,38.25505828857422,6.799772381782532e-05,0.00501199811697,0,0,0,0,0,0,0,0,0,0,148.28289794921875,149.57550048828125,139.11968994140625,-1.3044004440307615,14.978715007166372,15.10756262838078,14.06476649353772,-0.1118560904617309,30.63849830627441,30.947378158569336,29.094099044799805,11.515999794006348,14.526659965515137,15.551461219787598,14.905939102172852,-0.3839998245239258,0
2024-01-22 02:20:31.204426,2.215615,1,1,1,1,0,1,1,1,1,2041.59228515625,2061.070068359375,1907.98388671875,-36.347198486328125,2.6364400386810303,2.9993200302124023,2.8178799152374268,1.0740400552749634,39.07421875,38.25505828857422,6.799772381782532e-05,0.00501199811697,1,0,0,0,0,0,0,1,0,0,148.20928955078125,149.57089233398438,139.08290100097656,-1.2508001327514648,14.934698889058405,15.10756262838078,14.057422169178649,-0.0579473383483886,22.19577980041504,30.84441947937012,28.68225860595703,11.008000373840332,5.363219261169434,15.036660194396973,14.082258224487305,-0.0791997909545898,0
2024-01-22 02:20:32.873252,3.883583,1,1,1,1,0,1,1,1,1,1950.787353515625,2061.002685546875,1907.4495849609373,10.4464111328125,0.3079600036144256,3.009399890899658,2.757399797439575,1.0437999963760376,39.19195556640625,38.25505828857422,4.026956081390381,6.799772381782532e-05,1,0,0,0,0,0,0,1,0,0,140.11329650878906,149.57089233398438,139.00929260253906,-0.5004005432128906,14.141885700392145,15.10710265873674,14.053752322673285,0.2062054387207031,4.074820041656494,30.63849830627441,30.226659774780277,11.820799827575684,-15.640619277954102,15.86034107208252,13.567459106445312,-0.2824001312255859,0
2024-01-22 02:20:34.508205,5.519623,1,1,1,1,0,1,1,1,1,1818.4755859375,2059.923583984375,1907.98388671875,189.26480102539065,0.4490799903869629,2.9590001106262207,2.91867995262146,1.174839973449707,39.07421875,38.48821258544922,4.872380256652832,6.799772381782532e-05,1,0,0,0,0,0,0,1,0,0,131.0972900390625,149.5341033935547,139.08290100097656,5.9315996170043945,13.241719904777025,15.10710265873674,14.057422169178649,0.6428662422409057,0.4712200164794922,30.7414608001709,28.37337875366211,12.735199928283691,-12.757740020751951,14.6248197555542,15.214818954467772,0.4288005828857422,0
2024-01-22 02:20:36.164433,7.174448,1,1,1,1,0,1,1,1,1,1679.38330078125,2061.002685546875,1907.98388671875,316.2760009765625,0.2172399908304214,3.009399890899658,2.777559995651245,1.1546800136566162,39.07421875,37.90667724609375,4.914403915405273,-0.0024040006101131,1,0,0,0,0,0,0,1,0,0,121.41890716552734,149.57550048828125,139.00929260253906,11.23799991607666,12.27802873411409,15.10710265873674,14.031715112985047,1.1873443531036376,3.251140117645264,30.63849830627441,28.68225860595703,12.531999588012695,-15.846539497375488,15.757378578186035,15.00889778137207,1.038400650024414,0
2024-01-22 02:20:37.772056,8.783299,1,1,1,1,0,1,1,1,1,1546.76708984375,2061.002685546875,1907.98388671875,418.21923828125,0.1870000064373016,2.9590001106262207,2.9590001106262207,1.315959930419922,38.722076416015625,38.48821258544922,4.889684200286865,0.002539999783039,1,0,0,0,0,0,0,1,0,0,112.47650146484376,149.5341033935547,139.0460968017578,15.526000022888184,11.361144268882816,15.10756262838078,14.057422169178649,1.6455685984039303,1.088979959487915,30.947378158569336,30.02073860168457,13.243200302124023,-15.846539497375488,15.448498725891112,13.46449851989746,0.6319999694824219,0
2024-01-22 02:20:39.367953,10.378379,1,1,1,1,0,1,1,1,1,1417.901611328125,2061.002685546875,1907.4495849609373,605.3936157226562,0.0055599897168576,3.039639949798584,2.928760051727295,1.2756400108337402,39.07421875,38.25505828857422,4.884740352630615,-0.0024040006101131,1,0,0,0,0,0,0,1,0,0,103.2029037475586,149.57550048828125,139.00929260253906,19.6531982421875,10.43223838975358,15.10710265873674,14.053752322673285,2.012147994644165,-0.2494999170303344,30.947378158569336,29.094099044799805,13.954400062561035,-15.94950008392334,15.448498725891112,12.846738815307615,1.7496004104614258,0
2024-01-22 02:20:41.179275,12.189578,1,1,1,1,0,1,1,1,1,1288.6163330078125,2061.070068359375,1906.9154052734373,764.1575927734375,-0.0146000059321522,2.9590001106262207,2.757399797439575,1.3260400295257568,39.07421875,38.02262115478516,4.857548236846924,6.799772381782532e-05,1,0,0,0,0,0,0,1,0,0,92.38370513916016,149.57089233398438,139.0460968017578,24.31639862060547,9.373134450276908,15.10710265873674,14.053752322673285,2.5566262039489747,-0.2494999170303344,30.123699188232425,30.226659774780277,14.665599822998049,-15.846539497375488,15.345540046691896,13.36153793334961,2.3592004776000977,0
2024-01-22 02:20:42.852720,13.864276,1,1,1,1,0,1,1,1,1,1141.6849365234375,2061.070068359375,1906.9154052734373,909.552001953125,-0.0347600020468235,2.9791598320007324,2.898519992828369,1.4268399477005005,39.07421875,38.25505828857422,4.847660064697266,-0.0024040006101131,1,0,0,0,0,0,0,1,0,0,83.14690399169922,149.57089233398438,139.0460968017578,29.890796661376957,8.412607776720673,15.103437821880725,14.057422169178649,3.0310233013000487,0.0593800544738769,31.05034065246582,28.270418167114254,14.360799789428713,-15.94950008392334,15.345540046691896,15.111858367919922,2.765600204467773,0
2024-01-22 02:20:44.498284,15.509676,1,1,1,1,0,1,1,1,1,1011.8427124023438,2061.002685546875,1907.98388671875,1075.0008544921875,0.0055599897168576,3.009399890899658,2.797719955444336,1.3562800884246826,39.07421875,38.25505828857422,4.817996025085449,-0.0024040006101131,1,0,0,0,0,0,0,1,0,0,73.76290130615234,149.57089233398438,139.08290100097656,35.03639602661133,7.499183576940508,15.10710265873674,14.06109187466253,3.521592856933593,-0.1465399265289306,30.226659774780277,30.02073860168457,15.783199310302734,-15.846539497375488,15.551461219787598,12.640819549560549,3.476799964904785,0
