Server Time,Session Time Stamps,Tank_B201_empty,Tank_B202_empty,Tank_B203_empty,Tank_B204_empty,Tank_B204_middle,Tank_B201_full,Tank_B202_full,Tank_B203_full,Tank_B204_full,Tank_B201_Volume,Tank_B202_Volume,Tank_B203_Volume,Tank_B204_Volume,Pressure_below_B201,Pressure_below_B202,Pressure_below_B203,Pressure_below_B204,Tempreature_before_Pump_P201,Temperature_in_B204,Flow_after_Pump_P201,Flow_after_Pump_P202,Valve_V201_opening,Valve_V202_opening,Valve_V203_opening,Valve_V204_opening,Valve_V205_opening,Valve_V206_opening,Valve_V209_opening,Pump_P201_active,Pump_P202_active,Mixer_R201_of_B204_active,Tank_B201_level_calculated_via_LI211,Tank_B202_level_calculated_via_LI212,Tank_B203_level_calculated_via_LI213,Tank_B204_level_calculated_via_LI214,Tank_B201_level_calculated_via_VolumeB201,Tank_B202_level_calculated_via_VolumeB202,Tank_B203_level_calculated_via_VolumeB203,Tank_B204_level_calculated_via_VolumeB204,Anomaly
2024-01-13 00:43:31.525643,0.624943,1,1,1,1,0,1,1,1,1,1591.715576171875,2061.070068359375,1954.0023193359373,346.35760498046875,0.1466799974441528,3.0900399684906006,2.888439893722534,1.184920072555542,18.23650550842285,18.71891975402832,4.822940349578857,0.002539999783039,1,0,0,0,0,0,0,1,0,0,115.27330017089844,149.57550048828125,142.2845001220703,13.59639835357666,11.655831593963024,15.10756262838078,14.380543390338822,1.4461064420013428,0
2024-01-13 00:43:33.134224,2.233402,1,1,1,1,0,1,1,1,1,1460.3865966796875,2060.463134765625,1954.5382080078125,546.901611328125,0.0257199928164482,3.0900399684906006,2.908600091934204,1.2958000898361206,18.23650550842285,18.6380672454834,4.800692081451416,-0.0024040006101131,1,0,0,0,0,0,0,1,0,0,105.85250091552734,149.57550048828125,142.24769592285156,17.402000427246094,10.71617665020261,15.10710265873674,14.37687081607204,1.9366758007507323,0
2024-01-13 00:43:34.786901,3.883845,1,1,1,1,0,1,1,1,1,1332.7841796875,2061.070068359375,1954.0023193359373,677.2552490234375,0.3079600036144256,2.9791598320007324,2.757399797439575,1.245400071144104,18.31645774841309,18.71891975402832,4.798220157623291,6.799772381782532e-05,1,0,0,0,0,0,0,1,0,0,96.35810089111328,149.5341033935547,142.3212890625,22.76199722290039,9.75706531182861,15.10710265873674,14.380543390338822,2.3194278521575926,0
2024-01-13 00:43:36.369347,5.465141,1,1,1,1,0,1,1,1,1,1203.7425537109375,2061.070068359375,1954.0023193359373,844.375244140625,-0.0146000059321522,3.0698797702789307,2.91867995262146,1.2353200912475586,18.557397842407227,18.47690773010254,4.785860061645508,-0.0048760026693344,1,0,0,0,0,0,0,1,0,0,87.8572998046875,149.5341033935547,142.2845001220703,27.157196044921875,8.878220341597245,15.10756262838078,14.37687081607204,2.8046065227355954,0
2024-01-13 00:43:37.987272,7.083989,1,1,1,1,0,1,1,1,1,1078.8873291015625,2060.463134765625,1954.5382080078125,628.7904052734375,-0.0246799997985363,3.019479990005493,2.787639856338501,1.2958000898361206,18.47690773010254,18.39659309387207,4.758667945861816,-0.0024040006101131,1,0,0,0,0,0,0,1,0,0,78.51010131835938,149.5341033935547,142.24769592285156,32.24919891357422,7.946758748158893,15.10710265873674,14.380543390338822,3.214312999420166,0
2024-01-13 00:43:39.595169,8.691934,1,1,1,1,0,1,1,1,1,955.1328125,2060.463134765625,1954.5382080078125,1138.5064697265625,-0.0549200065433979,3.019479990005493,2.787639856338501,1.3260400295257568,18.31645774841309,18.71891975402832,4.738892078399658,0.002539999783039,1,0,0,0,0,0,0,1,0,0,69.31010437011719,149.57089233398438,142.2845001220703,37.07319641113281,7.058799679810118,15.10710265873674,14.37687081607204,3.75879101184082,0
2024-01-13 00:43:41.081879,10.178085,1,1,1,1,0,1,1,1,1,830.4937744140625,2061.070068359375,1955.0740966796875,1218.7239990234375,-0.0347600020468235,3.009399890899658,2.777559995651245,1.4570800065994265,18.557397842407227,18.39659309387207,4.721588134765625,6.799772381782532e-05,1,0,0,0,0,0,0,1,0,0,60.84610366821289,149.5341033935547,142.3212890625,40.77159881591797,6.173724951421832,15.103437821880725,14.380543390338822,4.109197949798584,0
2024-01-13 00:43:42.612129,11.70693,1,1,1,1,0,1,1,1,1,713.8776245117188,2060.463134765625,1954.0023193359373,1375.81689453125,-0.0448400042951107,3.059800148010254,2.757399797439575,1.4570800065994265,18.39659309387207,18.47690773010254,4.72900390625,-0.0024040006101131,1,0,0,0,0,0,0,1,0,0,51.64610290527344,149.5341033935547,142.3212890625,43.93399810791016,5.243355656744063,15.10756262838078,14.38421582361286,4.529686196594239,0
2024-01-13 00:43:44.153133,13.248768,1,1,1,1,0,1,1,1,1,594.37353515625,2060.463134765625,1955.0740966796875,1511.18408203125,0.0055599897168576,3.039639949798584,2.9489200115203857,1.5074800252914429,18.31645774841309,18.47690773010254,4.701812267303467,-0.0024040006101131,1,0,0,0,0,0,0,1,0,0,42.4093017578125,149.57550048828125,142.2845001220703,45.48839569091797,4.326981750135687,15.103437821880725,14.37687081607204,4.923219821228027,0
2024-01-13 00:43:45.703084,14.79855,1,1,1,1,0,1,1,1,1,469.6733703613281,2060.463134765625,1954.0023193359373,1628.1680908203125,-0.0246799997985363,3.0799598693847656,2.9993200302124023,1.5175600051879885,18.31645774841309,18.71891975402832,4.686980247497559,6.799772381782532e-05,1,0,0,0,0,0,0,1,0,0,33.577301025390625,149.57089233398438,142.3212890625,53.260398864746094,3.4246609627456293,15.10756262838078,14.37687081607204,5.2897992174682615,0
